Cs	Cs_prev	Cs_new
2.545885373645242e-11	8.040589152448271e-08	8.039272373315e-08
2.545885373645242e-11	9.656523552161449e-08	9.654614152425e-08
2.545885373645242e-11	1.1597215744452713e-07	1.159442177658e-07
2.545885373645242e-11	1.3927932997509995e-07	1.39238189253e-07
2.545885373645242e-11	1.6727059482006927e-07	1.67209846754e-07
2.545885373645242e-11	2.0088732403050682e-07	2.007977437783e-07
2.545885373645242e-11	2.412600792120572e-07	2.411287630798e-07
2.545885373645242e-11	2.897466333543717e-07	2.895561804617e-07
2.545885373645242e-11	3.4797763398892665e-07	3.477055609166e-07
2.545885373645242e-11	4.179114433693365e-07	4.175299947017e-07
2.545885373645242e-11	5.018999999999996e-07	5.013763598722e-07
3.057537402495308e-11	0.0	1.07470384556e-15
3.057537402495308e-11	1.019e-11	1.01907167553e-11
3.057537402495308e-11	1.2237906095048205e-11	1.2238550885750001e-11
3.057537402495308e-11	1.4697384258215702e-11	1.4697942609530003e-11
3.057537402495308e-11	1.7651149008330077e-11	1.765160353118e-11
3.057537402495308e-11	2.1198538177982996e-11	2.119886798099e-11
3.057537402495308e-11	2.545885373645242e-11	2.5459033718620003e-11
3.057537402495308e-11	3.057537402495308e-11	3.057537402495e-11
3.057537402495308e-11	3.672017233938683e-11	3.6719956111470004e-11
3.057537402495308e-11	4.409990391397474e-11	4.4099427895460004e-11
3.057537402495308e-11	5.296275592736719e-11	5.29619677521e-11
3.057537402495308e-11	6.360679426634714e-11	6.360563097678001e-11
3.057537402495308e-11	7.638998775648742e-11	7.638837364304e-11
3.057537402495308e-11	9.174224698388373e-11	9.174009099299001e-11
3.057537402495308e-11	1.1017988258464067e-10	1.101770751131e-10
